Name,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,NG years,PO years,TO years
"Gordon, Aaron",21590909,19863636,18136364,16409091,,,0,0,0
"Gordon, Eric",13500375,14057730,,,,,0,0,0
"Gortat, Marcin",13565218,,,,,,0,0,0
"Graham, Devonte'",988464,1416852,1663861,,,,1,0,0
"Graham, Treveon",1512601,1645357,,,,,1,0,0
"Grant, Jerami",8653847,9346153,9346153,,,,0,1,0
"Grant, Jerian",2639314,,,,,,0,0,0
"Green, Danny",10000000,,,,,,0,0,0
"Green, Draymond",17469565,18539130,,,,,0,0,0
"Green, Gerald",1512601,,,,,,0,0,0
"Green, JaMychal",7666667,,,,,,0,0,0
"Griffin, Blake",32088932,34449964,36810996,38957028,,,0,1,0
"Hamilton, Daniel",1349383,,,,,,0,0,0
"Hardaway Jr., Tim",17325000,18150000,18975000,,,,0,1,0
"Harden, James",30421854,38150000,41202000,44254000,47306000,,0,0,0
"Harkless, Maurice",10837079,11511234,,,,,0,0,0
"Harrell, Montrezl",6000000,6000000,,,,,0,0,0
"Harris, Devin",1512601,,,,,,0,0,0
"Harris, Gary",16517857,17839286,19160714,20482143,,,0,0,0
"Harris, Joe",8333333,7666667,,,,,0,0,0
"Harris, Tobias",14800000,,,,,,0,0,0
"Harrison, Andrew",1544951,,,,,,1,0,0
"Hart, Josh",1655160,1934160,3491159,,,,0,0,2
"Hartenstein, Isaiah",838464,1416852,1663861,,,,2,0,0
"Haslem, Udonis",1512601,,,,,,0,0,0
"Hayward, Gordon",31214295,32700690,34187085,,,,0,1,0
"Henson, John",11327466,10482396,,,,,0,0,0
"Hernangomez, Juancho",2166360,3321030,,,,,0,0,1
"Hernangomez, Willy",1544951,1676735,,,,,1,0,0
"Hezonja, Mario",6500000,,,,,,0,0,0
"Hield, Buddy",3833760,4861208,,,,,0,0,1
"Hilario, Nene",3651480,3825360,,,,,0,1,0
"Hill, George",19000000,18000000,,,,,1,0,0
"Hill, Solomon",12252928,12758781,,,,,0,0,0
"Holiday, Aaron",1911960,2239200,2345640,3980551,,,0,0,2
"Holiday, Jrue",25976111,25976111,25976111,26865000,,,0,1,0
"Holiday, Justin",4384616,,,,,,0,0,0
"Hollis-Jefferson, Rondae",2470357,,,,,,0,0,0
"Holmes, Richaun",1600520,,,,,,1,0,0
"Hood, Rodney",3472887,,,,,,0,0,0
"Horford, Al",28928710,30123015,,,,,0,1,0
"Huerter, Kevin",2250960,2636280,2761920,4253357,,,0,0,2
"Hutchison, Chandler",1991520,2332320,2443440,4019459,,,0,0,2
"Ibaka, Serge",21666667,23271604,,,,,0,0,0
"Iguodala, Andre",16000000,17185185,,,,,0,0,0
"Ilyasova, Ersan",7000000,7000000,7000000,,,,1,0,0
"Ingles, Joe",13045455,11954546,10863637,,,,0,0,0
"Ingram, Brandon",5757120,7265485,,,,,0,0,1
"Irving, Kyrie",20099189,21329752,,,,,0,1,0
"Isaac, Jonathan",4969080,5806440,7362566,,,,0,0,1
"Iwundu, Wesley",1378242,1618520,,,,,0,1,0
"Jackson Jr., Jaren",5915040,6927480,7257360,9180560,,,0,0,2
"Jackson, Frank",1378242,1618520,,,,,1,0,0
"Jackson, Josh",6041520,7059480,8930242,,,,0,0,2
"Jackson, Justin",2807880,3280920,5029650,,,,0,0,2
