Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
5,29.0,39.0,0.0,13.7,2.2,4.4,0.497,0.2,0.7,0.259,2.0,3.7,0.542,0.518,1.1,1.3,0.86,0.9,3.2,4.1,0.7,0.5,0.6,0.7,1.8,5.6
1,25.0,40.0,4.0,28.8,5.7,12.3,0.462,2.1,5.5,0.374,3.6,6.8,0.533,0.546,4.0,5.1,0.789,0.5,2.1,2.5,5.2,0.6,0.3,2.3,2.9,17.4
2,22.0,23.0,0.0,15.6,1.8,4.7,0.393,0.7,3.0,0.246,1.1,1.7,0.658,0.472,0.4,0.5,0.818,0.6,1.9,2.4,1.2,0.5,0.3,0.8,1.5,4.8
4,19.0,37.0,37.0,31.9,6.4,14.7,0.436,2.4,6.3,0.38,4.0,8.4,0.479,0.518,4.3,5.7,0.757,1.1,5.5,6.6,5.0,1.0,0.3,3.4,1.8,19.5
2,22.0,19.0,0.0,10.2,1.4,3.9,0.365,0.3,1.6,0.2,1.1,2.3,0.477,0.405,0.8,1.3,0.625,0.4,1.5,1.8,0.7,0.3,0.1,0.4,0.8,3.9
2,24.0,30.0,9.0,25.1,3.9,8.8,0.443,1.4,3.8,0.36,2.5,5.0,0.507,0.521,0.8,1.1,0.719,0.7,3.0,3.7,1.1,1.0,0.1,0.7,1.8,9.9
1,22.0,4.0,0.0,2.5,0.8,1.5,0.5,0.3,0.5,0.5,0.5,1.0,0.5,0.583,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.3,1.8
1,32.0,14.0,14.0,29.1,5.5,13.4,0.41,1.6,5.0,0.314,3.9,8.4,0.466,0.468,2.7,3.6,0.76,0.6,2.5,3.1,4.9,0.7,0.3,2.5,2.1,15.3
5,25.0,36.0,36.0,33.0,7.2,14.3,0.5,0.1,0.7,0.16,7.1,13.6,0.517,0.504,2.7,5.1,0.524,5.4,9.5,14.9,1.3,1.5,1.8,2.4,3.4,17.1
4,33.0,40.0,22.0,22.3,1.8,4.5,0.406,0.9,2.9,0.325,0.9,1.7,0.545,0.508,0.6,0.9,0.629,0.6,2.2,2.8,1.5,0.7,0.3,0.8,2.5,5.1
1,24.0,13.0,11.0,30.6,5.8,11.9,0.484,0.5,1.5,0.35,5.2,10.4,0.504,0.506,1.6,2.1,0.778,0.1,4.8,4.8,6.8,1.2,0.2,2.5,3.9,13.7
4,30.0,39.0,39.0,35.9,9.8,19.5,0.504,1.8,4.9,0.365,8.0,14.6,0.551,0.55,7.0,7.7,0.913,0.5,7.0,7.5,6.1,0.8,1.0,3.4,1.9,28.5
3,22.0,1.0,0.0,4.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
4,22.0,2.0,0.0,12.5,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,1.0,1.0,1.0,0.0,4.5,4.5,0.5,0.0,0.0,0.0,1.0,6.0
2,31.0,20.0,10.0,22.7,2.7,7.6,0.358,2.3,6.3,0.365,0.4,1.3,0.32,0.51,0.6,0.7,0.846,0.3,1.8,2.1,1.4,1.1,0.2,0.7,1.7,8.3
5,24.0,37.0,37.0,33.9,8.9,18.4,0.485,1.1,3.8,0.296,7.8,14.5,0.535,0.516,8.0,9.9,0.802,2.4,11.2,13.6,3.5,0.6,1.9,3.5,3.4,26.9
3,28.0,24.0,22.0,24.5,2.8,5.8,0.489,1.2,3.4,0.358,1.6,2.4,0.672,0.594,1.0,1.5,0.657,1.0,1.8,2.7,0.7,0.9,0.4,0.6,3.2,7.8
4,21.0,8.0,0.0,4.4,1.1,1.4,0.818,0.0,0.0,0.0,1.1,1.4,0.818,0.818,0.5,0.8,0.667,0.1,1.0,1.1,0.1,0.1,0.0,0.3,0.4,2.8
2,21.0,20.0,0.0,4.3,0.3,1.1,0.227,0.1,0.3,0.167,0.2,0.8,0.25,0.25,0.0,0.1,0.0,0.1,0.3,0.4,0.6,0.1,0.1,0.2,0.6,0.6
1,22.0,4.0,0.0,11.5,0.5,2.5,0.2,0.0,0.5,0.0,0.5,2.0,0.25,0.2,0.0,0.0,0.0,0.3,2.3,2.5,2.0,0.5,0.0,1.0,1.5,1.0
2,29.0,34.0,11.0,21.1,3.7,9.8,0.38,1.3,3.5,0.358,2.4,6.2,0.392,0.444,1.8,2.3,0.759,0.6,2.2,2.9,2.5,1.2,0.3,1.9,1.8,10.4
1,23.0,38.0,1.0,16.6,2.6,6.1,0.429,0.5,1.6,0.305,2.2,4.6,0.471,0.468,1.7,2.2,0.786,0.4,1.3,1.7,2.7,0.4,0.1,1.2,1.7,7.5
4,29.0,10.0,0.0,7.7,1.9,2.8,0.679,0.0,0.1,0.0,1.9,2.7,0.704,0.679,0.8,1.4,0.571,0.9,1.8,2.7,0.1,0.1,0.2,0.5,0.7,4.6
5,27.0,38.0,33.0,23.1,4.5,7.5,0.596,0.3,1.0,0.282,4.2,6.5,0.646,0.616,1.9,3.1,0.629,2.9,4.1,7.1,1.0,0.7,1.3,1.2,2.3,11.2
5,26.0,24.0,0.0,11.0,1.3,2.3,0.564,0.0,0.0,0.0,1.3,2.3,0.574,0.564,0.6,0.8,0.737,0.9,2.3,3.2,0.5,0.1,0.1,0.5,1.0,3.2
