Nikola Jokic,2018-19,23,DEN,NBA,C,36,36,31.1,6.8,13.6,0.497,1.1,3.4,0.317,5.7,10.2,0.557,0.537,3.6,4.3,0.838,2.6,7.4,10,7.6,1.4,0.7,3.3,2.9,18.2
Damian Jones,2018-19,23,GSW,NBA,C,24,22,17.1,2.2,3.1,0.716,0,0,0,2.2,3.1,0.716,0.716,1,1.5,0.649,1.3,1.8,3.1,1.2,0.5,1,0.7,2.6,5.4
Derrick Jones,2018-19,21,MIA,NBA,SF,27,5,17.7,2.5,5.2,0.486,0.5,1.4,0.378,2,3.8,0.524,0.536,1.2,1.9,0.615,2,2.4,4.5,0.5,0.8,0.7,0.7,2.1,6.7
Jalen Jones,2018-19,25,CLE,NBA,SF,12,0,11,1.2,2.9,0.4,0.5,1.3,0.4,0.7,1.7,0.4,0.486,1.1,1.4,0.765,0.7,1.5,2.2,0.4,0.3,0.1,0.3,1.6,3.9
Tyus Jones,2018-19,22,MIN,NBA,PG,38,6,20.3,2.1,5.4,0.39,0.5,1.7,0.297,1.6,3.7,0.433,0.437,0.6,0.7,0.815,0.3,1.4,1.7,3.8,1.3,0.1,0.6,0.9,5.3
DeAndre Jordan,2018-19,30,DAL,NBA,C,38,38,31.2,4.1,6.4,0.642,0,0,0,4.1,6.4,0.642,0.642,2.8,4,0.709,3.1,11,14.2,2.1,0.7,1.1,2.3,2.4,11
Cory Joseph,2018-19,27,IND,NBA,PG,38,0,25.9,3,6.6,0.452,0.8,2.2,0.369,2.2,4.4,0.494,0.514,0.3,0.5,0.6,0.4,3.3,3.7,3.9,1.3,0.2,1.3,1.7,7.1
Frank Kaminsky,2018-19,25,CHO,NBA,PF,22,0,11.6,2,4.1,0.489,0.6,1.8,0.333,1.4,2.3,0.608,0.561,1,1.5,0.667,0.8,1.7,2.5,1.1,0.2,0.2,0.8,1.1,5.6
Enes Kanter,2018-19,26,NYK,NBA,C,39,23,26.5,5.8,10.8,0.54,0.2,0.5,0.35,5.6,10.3,0.55,0.549,2.6,3.1,0.835,3.9,6.8,10.7,2,0.4,0.4,1.8,2.5,14.4
Luke Kennard,2018-19,22,DET,NBA,SG,18,8,19.6,2.8,6.8,0.418,1.2,3.3,0.356,1.7,3.5,0.476,0.504,0.3,0.6,0.6,0.2,2.6,2.8,1.3,0.3,0.2,0.8,1.2,7.2
Michael Kidd-Gilchrist,2018-19,25,CHO,NBA,PF,30,1,19.3,3,6.2,0.487,0.2,0.6,0.353,2.8,5.7,0.5,0.503,1.6,2,0.797,1.9,3.1,4.9,1,0.5,1,0.8,2.7,7.8
George King,2018-19,25,PHO,NBA,SF,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Maxi Kleber,2018-19,27,DAL,NBA,PF,33,3,18,2.2,5.1,0.438,0.9,3,0.296,1.4,2.2,0.634,0.524,0.8,1,0.765,1.1,2.7,3.8,0.8,0.5,1.2,0.6,1.4,6.2
Brandon Knight,2018-19,27,HOU,NBA,PG,8,0,9.1,0.6,3.5,0.179,0.4,2.6,0.143,0.3,0.9,0.286,0.232,0.1,0.3,0.5,0.1,0.4,0.5,0.6,0.3,0,0.3,1.1,1.8
Kevin Knox,2018-19,19,NYK,NBA,PF,32,14,26.6,4.3,11.6,0.376,1.7,4.7,0.36,2.7,6.9,0.386,0.449,1.8,2.7,0.678,0.9,3.4,4.3,0.9,0.5,0.3,1.2,2.3,12.2
Furkan Korkmaz,2018-19,21,PHI,NBA,SG,31,3,15.1,2.2,5.6,0.394,1,3.3,0.314,1.2,2.4,0.507,0.486,0.6,0.7,0.826,0.3,2.1,2.4,1.1,0.7,0.1,0.5,1.4,6.1
Luke Kornet,2018-19,23,NYK,NBA,PF,17,4,12.7,2.1,4.7,0.438,1.5,3.3,0.464,0.5,1.4,0.375,0.6,0.5,0.6,0.818,0.6,1.9,2.5,1.2,0.3,0.4,0.4,0.7,6.2
Kyle Korver,2018-19,37,TOT,NBA,SG-PF,33,0,17.2,2.6,6,0.442,1.8,4.3,0.418,0.8,1.7,0.5,0.591,0.8,1,0.818,0.1,1.6,1.7,0.9,0.3,0.2,0.8,1.5,7.9
Kosta Koufos,2018-19,29,SAC,NBA,C,24,1,13.5,1.8,3.8,0.473,0,0,0,1.8,3.8,0.473,0.473,0.2,0.5,0.455,1.5,3.5,4.9,1,0.5,0.4,0.6,1.9,3.8
Rodions Kurucs,2018-19,20,BRK,NBA,SF,23,11,19.2,3.2,6.6,0.48,0.7,2.5,0.298,2.4,4.1,0.589,0.536,1.5,1.7,0.895,0.9,2.7,3.7,0.6,0.5,0.3,1,2.2,8.6
Kyle Kuzma,2018-19,23,LAL,NBA,SF,38,36,32.6,7,14.8,0.472,1.8,5.8,0.302,5.2,8.9,0.584,0.532,2.6,3.3,0.78,0.7,5.2,5.8,2.4,0.7,0.5,1.9,2.3,18.3
Skal Labissiere,2018-19,22,SAC,NBA,PF,10,0,9.4,1.1,2.6,0.423,0.3,1,0.3,0.8,1.6,0.5,0.481,0.6,1.1,0.545,0.2,1.7,1.9,0.4,0.2,0.2,0.6,1.9,3.1
Jeremy Lamb,2018-19,26,CHO,NBA,SG,36,36,29.3,5.5,12.3,0.448,1.4,3.9,0.348,4.2,8.4,0.495,0.503,2.8,3.3,0.857,0.8,4.8,5.6,2,1.1,0.3,0.9,2.1,15.3
Zach LaVine,2018-19,23,CHI,NBA,SG,33,32,34.5,8.3,18.2,0.456,1.8,5.1,0.345,6.5,13.1,0.499,0.504,5.2,6,0.868,0.4,4.1,4.5,4.5,1,0.5,3.7,2.3,23.5
